Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Mouse	mmu_circDner_001	mm10	chr1:84445394-84445619	-	225	NM_152915	Dner	ENSMUSG00000036766	1	2: RPF,cORF	circBase:mmu_circ_0009008
Condition-independent	Mouse	mmu_circTrip12_001	mm10	chr1:84814822-84814969	-	147	NM_133975	Trip12	ENSMUSG00000026219	2	3: RPF,cORF,m6A	circAtlas:mmu-Trip12_0004
Condition-independent	Mouse	mmu_circNcl_001	mm10	chr1:86352509-86353280	-	279	NM_010880	Ncl	ENSMUSG00000026234	1	3: RPF,cORF,m6A	circAtlas:mmu-Ncl_0001
Condition-independent	Mouse	mmu_circGigyf2_001	mm10	chr1:87364103-87374111	+	341	NM_001110212	Gigyf2	ENSMUSG00000048000	1	3: RPF,cORF,m6A	circAtlas:mmu-Gigyf2_0003,circBase:mmu_circ_0009037,CIRCpedia:MMU_CIRCpedia_32802,TSCD:chr1:87364103-87374111
Condition-independent	Mouse	mmu_circGigyf2_002	mm10	chr1:87364103-87380008	+	494	NM_001110212	Gigyf2	ENSMUSG00000048000	7	4: RPF,cORF,MS,m6A	circAtlas:mmu-Gigyf2_0001,circBase:mmu_circ_0000057,CIRCpedia:MMU_CIRCpedia_32803
Condition-independent	Mouse	mmu_circGigyf2_004	mm10	chr1:87411707-87443826	+	2178	NM_001110212	Gigyf2	ENSMUSG00000048000	27	3: RPF,cORF,m6A	circAtlas:mmu-Gigyf2_0059
Condition-independent	Mouse	mmu_circUgt1a6a_001	mm10	chr1:88138472-88139331	+	859	NM_145079	Ugt1a6a	ENSMUSG00000054545	2	3: RPF,cORF,m6A	circAtlas:mmu-Ugt1a7c_0001,CIRCpedia:MMU_CIRCpedia_37803
Condition-independent	Mouse	mmu_circLrrfip1_001	mm10	chr1:91100576-91107390	+	498	NM_008515	Lrrfip1	ENSMUSG00000026305	1	3: RPF,cORF,m6A	circAtlas:mmu-Lrrfip1_0007
Condition-independent	Mouse	mmu_circScly_001	mm10	chr1:91300527-91305454	+	395	NM_016717	Scly	ENSMUSG00000026307	1	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_34038
Condition-independent	Mouse	mmu_circZcchc2_001	mm10	chr1:106000930-106011814	+	374	NM_001122676	Zcchc2	ENSMUSG00000038866	1	3: RPF,cORF,m6A	circAtlas:mmu-Zcchc2_0018,CIRCpedia:MMU_CIRCpedia_1652
Condition-independent	Mouse	mmu_circZcchc2_002	mm10	chr1:106000930-106031233	+	2515	NM_001122676	Zcchc2	ENSMUSG00000038866	1	3: RPF,cORF,m6A	circAtlas:mmu-Zcchc2_0006,CIRCpedia:MMU_CIRCpedia_1654
Condition-independent	Mouse	mmu_circActr3_001	mm10	chr1:125397451-125403566	-	267	NM_001205386	Actr3	ENSMUSG00000026341	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_40037
Condition-independent	Mouse	mmu_circNckap5_001	mm10	chr1:126382051-126448517	-	198	NM_176957	Nckap5	ENSMUSG00000049690	1	3: RPF,cORF,m6A	circAtlas:mmu-Nckap5_0007,CIRCpedia:MMU_CIRCpedia_6643
Condition-independent	Mouse	mmu_circNucks1_001	mm10	chr1:131921942-131922048	+	106	NM_175294	Nucks1	ENSMUSG00000026434	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_213826
Condition-independent	Mouse	mmu_circPtprc_001	mm10	chr1:138067885-138073694	-	659	NM_001111316	Ptprc	ENSMUSG00000026395	1	3: RPF,cORF,MS	circAtlas:mmu-Ptprc_0002
Condition-independent	Mouse	mmu_circPtprc_003	mm10	chr1:138107774-138111310	-	294	NM_001111316	Ptprc	ENSMUSG00000026395	1	3: RPF,cORF,MS	circAtlas:mmu-Ptprc_0012
Condition-independent	Mouse	mmu_circCfhr1_001	mm10	chr1:139553512-139553695	-	183	NM_015780	Cfhr1	ENSMUSG00000057037	1	2: RPF,cORF	circAtlas:mmu-Cfhr1_0002,CIRCpedia:MMU_CIRCpedia_219168
Condition-independent	Mouse	mmu_circGm4788_001	mm10	chr1:139773929-139774671	-	372	NM_001160303	Gm4788	ENSMUSG00000070594	2	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_40061
Condition-independent	Mouse	mmu_circCfhr2_001	mm10	chr1:139813433-139813616	-	183	NM_001025575	Cfhr2	ENSMUSG00000033898	2	2: RPF,cORF	circAtlas:mmu-Cfhr2_0004
Condition-independent	Mouse	mmu_circCfhr2_002	mm10	chr1:139821623-139831237	-	546	NM_001025575	Cfhr2	ENSMUSG00000033898	1	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_40064
Condition-independent	Mouse	mmu_circCfh_001	mm10	chr1:140088657-140088840	-	183	NM_009888	Cfh	ENSMUSG00000026365	2	2: RPF,cORF	circAtlas:mmu-Cfh_0001,CIRCpedia:MMU_CIRCpedia_219170,TSCD:chr1:140088657-140088840
Condition-independent	Mouse	mmu_circCfh_002	mm10	chr1:140088657-140100984	-	537	NM_009888	Cfh	ENSMUSG00000026365	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Cfh_0002,CIRCpedia:MMU_CIRCpedia_40068
Condition-independent	Mouse	mmu_circCfh_003	mm10	chr1:140098869-140099046	-	177	NM_009888	Cfh	ENSMUSG00000026365	1	2: RPF,cORF	circAtlas:mmu-Cfh_0003,CIRCpedia:MMU_CIRCpedia_219201
Condition-independent	Mouse	mmu_circCfh_004	mm10	chr1:140098869-140100984	-	354	NM_009888	Cfh	ENSMUSG00000026365	1	3: RPF,cORF,MS	circAtlas:mmu-Cfh_0005,CIRCpedia:MMU_CIRCpedia_211940
Condition-independent	Mouse	mmu_circPla2g4a_001	mm10	chr1:149840617-149842359	-	486	NM_001305632	Pla2g4a	ENSMUSG00000056220	1	3: RPF,cORF,MS	circAtlas:mmu-Pla2g4a_0005
Condition-independent	Mouse	mmu_circTpr_001	mm10	chr1:150421635-150426994	+	1244	NM_133780	Tpr	ENSMUSG00000006005	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Tpr_0004
Condition-independent	Mouse	mmu_circDhx9_001	mm10	chr1:153469599-153483872	-	416	NM_007842	Dhx9	ENSMUSG00000042699	1	2: RPF,cORF	circAtlas:mmu-Dhx9_0018
Condition-independent	Mouse	mmu_circDhx9_002	mm10	chr1:153482741-153483872	-	274	NM_007842	Dhx9	ENSMUSG00000042699	1	3: RPF,cORF,m6A	circAtlas:mmu-Dhx9_0001,circBase:mmu_circ_0000090,CIRCpedia:MMU_CIRCpedia_10480,TSCD:chr1:153482741-153483872
Condition-independent	Mouse	mmu_circBrinp2_001	mm10	chr1:158295425-158295770	-	345	NM_207583	Brinp2	ENSMUSG00000004031	1	3: RPF,cORF,m6A	circAtlas:mmu-Brinp2_0002,CIRCpedia:MMU_CIRCpedia_10929
Condition-independent	Mouse	mmu_circDcaf6_001	mm10	chr1:165420110-165429315	-	455	NM_028759	Dcaf6	ENSMUSG00000026571	1	2: RPF,cORF	circAtlas:mmu-Dcaf6_0040,circBase:mmu_circ_0008390,CIRCpedia:MMU_CIRCpedia_11533
Condition-independent	Mouse	mmu_circUck2_001	mm10	chr1:167234691-167237648	-	400	NM_030724	Uck2	ENSMUSG00000026558	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Uck2_0001,circBase:mmu_circ_0000115,CIRCpedia:MMU_CIRCpedia_11679,TSCD:chr1:167234691-167237648
Condition-independent	Mouse	mmu_circAtf6_001	mm10	chr1:170815422-170819432	-	278	NM_001081304	Atf6	ENSMUSG00000026663	1	3: RPF,cORF,m6A	circAtlas:mmu-Atf6_0015,CIRCpedia:MMU_CIRCpedia_11819
Condition-independent	Mouse	mmu_circHnrnpu_001	mm10	chr1:178330591-178336158	-	1476	NM_016805	Hnrnpu	ENSMUSG00000039630	1	3: RPF,cORF,m6A	circAtlas:mmu-HNRNPU_0018,CIRCpedia:MMU_CIRCpedia_222247
Condition-independent	Mouse	mmu_circCdc42bpa_001	mm10	chr1:179970881-180111893	+	2630	NM_001359546	Cdc42bpa	ENSMUSG00000026490	1	3: RPF,cORF,m6A	circAtlas:mmu-Cdc42bpa_0110
Condition-independent	Mouse	mmu_circProx1_001	mm10	chr1:190146951-190162313	-	340	NM_001360827	Prox1	ENSMUSG00000010175	1	2: RPF,cORF	circAtlas:mmu-Prox1_0001,circBase:mmu_circ_0008551,CIRCpedia:MMU_CIRCpedia_12624
Condition-independent	Mouse	mmu_circProx1_002	mm10	chr1:190153415-190162313	-	1900	NM_001360827	Prox1	ENSMUSG00000010175	1	3: RPF,cORF,m6A	circAtlas:mmu-Prox1_0002,circBase:mmu_circ_0008552,CIRCpedia:MMU_CIRCpedia_12625
Condition-independent	Mouse	mmu_circUsp6nl_001	mm10	chr2:6336367-6400319	+	283	NM_001080548	Usp6nl	ENSMUSG00000039046	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Usp6nl_0025,circBase:mmu_circ_0010076,CIRCpedia:MMU_CIRCpedia_25574,TSCD:chr2:6336367-6400319
Condition-independent	Mouse	mmu_circItih5_001	mm10	chr2:10185518-10187056	+	266	NM_172471	Itih5	ENSMUSG00000025780	1	2: RPF,cORF	circAtlas:mmu-Itih5_0011
Condition-independent	Mouse	mmu_circMindy3_001	mm10	chr2:12355276-12386679	-	386	NR_149732	Mindy3	ENSMUSG00000026767	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Fam188a_0021,circBase:mmu_circ_0009285,CIRCpedia:MMU_CIRCpedia_6133
Condition-independent	Mouse	mmu_circVim_001	mm10	chr2:13578412-13581698	+	226	NM_011701	Vim	ENSMUSG00000026728	1	2: RPF,cORF	circAtlas:mmu-Vim_0039
Condition-independent	Mouse	mmu_circMrc1_001	mm10	chr2:14288986-14294944	+	561	NM_008625	Mrc1	ENSMUSG00000026712	1	2: RPF,cORF	circAtlas:mmu-Mrc1_0004,CIRCpedia:MMU_CIRCpedia_9264
Condition-independent	Mouse	mmu_circCacnb2_001	mm10	chr2:14874769-14874889	+	120	NM_001309519	Cacnb2	ENSMUSG00000057914	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_9883
Condition-independent	Mouse	mmu_circPlxdc2_001	mm10	chr2:16548116-16548263	+	147	NM_026162	Plxdc2	ENSMUSG00000026748	1	2: RPF,cORF	circAtlas:mmu-Plxdc2_0015
Condition-independent	Mouse	mmu_circEhmt1_001	mm10	chr2:24877454-24884702	-	729	NM_001109686	Ehmt1	ENSMUSG00000036893	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ehmt1_0028,CIRCpedia:MMU_CIRCpedia_14279
Condition-independent	Mouse	mmu_circCamsap1_001	mm10	chr2:25965662-25966948	-	425	NM_001276360	Camsap1	ENSMUSG00000026933	1	2: RPF,cORF	circAtlas:mmu-Camsap1_0001,circBase:mmu_circ_0009762,CIRCpedia:MMU_CIRCpedia_14685
Condition-independent	Mouse	mmu_circNup188_001	mm10	chr2:30321881-30323634	+	560	NM_198304	Nup188	ENSMUSG00000052533	1	3: RPF,cORF,m6A	circAtlas:mmu-Nup188_0006
Condition-independent	Mouse	mmu_circGpr107_001	mm10	chr2:31167020-31178387	+	1163	NM_178760	Gpr107	ENSMUSG00000000194	1	2: RPF,cORF	circAtlas:mmu-Gpr107_0020
Condition-independent	Mouse	mmu_circAss1_001	mm10	chr2:31478934-31481163	+	258	NM_007494	Ass1	ENSMUSG00000076441	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_39864
Condition-independent	Mouse	mmu_circPrrc2b_001	mm10	chr2:32182457-32206580	+	2016	NM_001159634	Prrc2b	ENSMUSG00000039262	10	4: RPF,cORF,MS,m6A	circAtlas:mmu-Prrc2b_0044
Condition-independent	Mouse	mmu_circHspa5_001	mm10	chr2:34773169-34773307	+	138	NM_022310	Hspa5	ENSMUSG00000026864	1	3: RPF,cORF,m6A	circAtlas:mmu-Hspa5_0003
Condition-independent	Mouse	mmu_circDab2ip_001	mm10	chr2:35643887-35661625	+	371	NM_001290641	Dab2ip	ENSMUSG00000026883	1	3: RPF,cORF,m6A	circAtlas:mmu-Dab2ip_0002,circBase:mmu_circ_0001009,CIRCpedia:MMU_CIRCpedia_17819
Condition-independent	Mouse	mmu_circKynu_001	mm10	chr2:43589388-43604288	+	439	NM_001289594	Kynu	ENSMUSG00000026866	1	2: RPF,cORF	circAtlas:mmu-Kynu_0008
Condition-independent	Mouse	mmu_circZeb2_001	mm10	chr2:45110015-45110157	-	142	NR_149354	Zeb2	ENSMUSG00000026872	1	3: RPF,cORF,m6A	circAtlas:mmu-Zeb2_0013,CIRCpedia:MMU_CIRCpedia_20512
Condition-independent	Mouse	mmu_circRbms1_001	mm10	chr2:60779730-60797742	-	389	NM_001141932	Rbms1	ENSMUSG00000026970	1	3: RPF,cORF,m6A	circAtlas:mmu-Rbms1_0001,circBase:mmu_circ_0010062,CIRCpedia:MMU_CIRCpedia_24977
Condition-independent	Mouse	mmu_circCobll1_001	mm10	chr2:65150978-65151167	-	189	NM_001363076	Cobll1	ENSMUSG00000034903	1	3: RPF,cORF,m6A	circAtlas:mmu-Cobll1_0001
Condition-independent	Mouse	mmu_circTlk1_001	mm10	chr2:70770003-70786995	-	191	NM_001362963	Tlk1	ENSMUSG00000041997	6	2: RPF,cORF	circAtlas:mmu-Tlk1_0001,circBase:mmu_circ_0001032,CIRCpedia:MMU_CIRCpedia_27604
Condition-independent	Mouse	mmu_circSlc25a12_001	mm10	chr2:71323975-71344032	-	399	NM_172436	Slc25a12	ENSMUSG00000027010	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Slc25a12_0011
Condition-independent	Mouse	mmu_circSp3_001	mm10	chr2:72946545-72971514	-	1553	NM_001098425	Sp3	ENSMUSG00000027109	2	3: RPF,cORF,m6A	circAtlas:mmu-Sp3_0002,circBase:mmu_circ_0001033,CIRCpedia:MMU_CIRCpedia_28242
Condition-independent	Mouse	mmu_circSp3_002	mm10	chr2:72970154-72971514	-	1360	NM_001098425	Sp3	ENSMUSG00000027109	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Sp3_0001,circBase:mmu_circ_0010164,CIRCpedia:MMU_CIRCpedia_28256
Condition-independent	Mouse	mmu_circLnpk_001	mm10	chr2:74568940-74573626	-	319	NM_001110209	Lnpk	ENSMUSG00000009207	1	3: RPF,cORF,m6A	circAtlas:mmu-Lnp_0002,circBase:mmu_circ_0001038,CIRCpedia:MMU_CIRCpedia_28784
Condition-independent	Mouse	mmu_circAmbra1_001	mm10	chr2:91805023-91810209	+	267	NM_001080754	Ambra1	ENSMUSG00000040506	1	3: RPF,cORF,m6A	circAtlas:mmu-Ambra1_0004,circBase:mmu_circ_0010255,CIRCpedia:MMU_CIRCpedia_34211
Condition-independent	Mouse	mmu_circPhf21a_001	mm10	chr2:92214048-92230724	+	396	NM_001346704	Phf21a	ENSMUSG00000058318	8	3: RPF,cORF,m6A	circAtlas:mmu-Phf21a_0002,circBase:mmu_circ_0001047,CIRCpedia:MMU_CIRCpedia_34310
Condition-independent	Mouse	mmu_circCaprin1_001	mm10	chr2:103771696-103778100	-	1101	NM_001111290	Caprin1	ENSMUSG00000027184	1	3: RPF,cORF,IRES	circAtlas:mmu-Caprin1_0013,CIRCpedia:MMU_CIRCpedia_1029
Condition-independent	Mouse	mmu_circThem7_001	mm10	chr2:105297725-105297968	+	243	NM_028747	Them7	ENSMUSG00000055312	2	3: RPF,cORF,MS	circAtlas:mmu-Them7_0001,CIRCpedia:MMU_CIRCpedia_39914,TSCD:chr2:105297725-105297968
Condition-independent	Mouse	mmu_circRasgrp1_001	mm10	chr2:117338275-117338460	-	185	NM_011246	Rasgrp1	ENSMUSG00000027347	1	3: RPF,cORF,MS	circAtlas:mmu-Rasgrp1_0001,CIRCpedia:MMU_CIRCpedia_219717
Condition-independent	Mouse	mmu_circBub1b_001	mm10	chr2:118617705-118617935	+	230	NM_009773	Bub1b	ENSMUSG00000040084	1	3: RPF,cORF,m6A	circAtlas:mmu-Bub1b_0009,CIRCpedia:MMU_CIRCpedia_37654
Condition-independent	Mouse	mmu_circTtbk2_001	mm10	chr2:120806758-120825315	-	358	NM_080788	Ttbk2	ENSMUSG00000090100	1	3: RPF,cORF,m6A	circAtlas:mmu-Ttbk2_0001,circBase:mmu_circ_0001063,CIRCpedia:MMU_CIRCpedia_5224
Condition-independent	Mouse	mmu_circPdia3_001	mm10	chr2:121422448-121436414	+	1237	NM_007952	Pdia3	ENSMUSG00000027248	1	3: RPF,cORF,m6A	circAtlas:mmu-Pdia3_0009
Condition-independent	Mouse	mmu_circPdia3_002	mm10	chr2:121429453-121434093	+	665	NM_007952	Pdia3	ENSMUSG00000027248	1	3: RPF,cORF,m6A	circAtlas:mmu-Pdia3_0015
Condition-independent	Mouse	mmu_circSlc27a2_001	mm10	chr2:126561536-126581003	+	757	NM_011978	Slc27a2	ENSMUSG00000027359	1	2: RPF,cORF	circAtlas:mmu-Slc27a2_0002
Condition-independent	Mouse	mmu_circHao1_001	mm10	chr2:134522984-134530797	-	432	NM_010403	Hao1	ENSMUSG00000027261	1	3: RPF,cORF,MS	circAtlas:mmu-Hao1_0007,CIRCpedia:MMU_CIRCpedia_39932
Condition-independent	Mouse	mmu_circTasp1_001	mm10	chr2:139947169-139951579	-	186	NR_110352	Tasp1	ENSMUSG00000039033	1	2: RPF,cORF	circAtlas:mmu-Tasp1_0004,circBase:mmu_circ_0001072,CIRCpedia:MMU_CIRCpedia_8860
Condition-independent	Mouse	mmu_circTasp1_002	mm10	chr2:140008698-140057499	-	471	NM_001289611	Tasp1	ENSMUSG00000039033	2	3: RPF,cORF,m6A	circAtlas:mmu-Tasp1_0039,circBase:mmu_circ_0001076,CIRCpedia:MMU_CIRCpedia_8887
Condition-independent	Mouse	mmu_circTasp1_003	mm10	chr2:140042093-140057499	-	496	NM_001289611	Tasp1	ENSMUSG00000039033	3	2: RPF,cORF	circAtlas:mmu-Tasp1_0038,circBase:mmu_circ_0001077,CIRCpedia:MMU_CIRCpedia_8889
Condition-independent	Mouse	mmu_circKif16b_001	mm10	chr2:142834076-142837582	-	126	NM_001081133	Kif16b	ENSMUSG00000038844	1	2: RPF,cORF	circAtlas:mmu-Kif16b_0030,CIRCpedia:MMU_CIRCpedia_9254
Condition-independent	Mouse	mmu_circSlc24a3_001	mm10	chr2:145244960-145245089	+	129	NM_053195	Slc24a3	ENSMUSG00000063873	1	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_9585
Condition-independent	Mouse	mmu_circXrn2_001	mm10	chr2:147024714-147026439	+	283	NM_001356403	Xrn2	ENSMUSG00000027433	1	3: RPF,cORF,m6A	circAtlas:mmu-Xrn2_0002,circBase:mmu_circ_0009421,CIRCpedia:MMU_CIRCpedia_9734
Condition-independent	Mouse	mmu_circDlgap4_001	mm10	chr2:156745834-156749356	+	864	NM_001277187	Dlgap4	ENSMUSG00000061689	1	3: RPF,cORF,m6A	circAtlas:mmu-Dlgap4_0001,circBase:mmu_circ_0001098,CIRCpedia:MMU_CIRCpedia_10767
Condition-independent	Mouse	mmu_circRprd1b_001	mm10	chr2:158035995-158058827	+	677	NM_027434	Rprd1b	ENSMUSG00000027651	1	3: RPF,cORF,m6A	circAtlas:mmu-Rprd1b_0001,circBase:mmu_circ_0001099,CIRCpedia:MMU_CIRCpedia_10889
Condition-independent	Mouse	mmu_circZhx3_001	mm10	chr2:160832296-160832418	-	122	NM_177263	Zhx3	ENSMUSG00000035877	2	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_11144
Condition-independent	Mouse	mmu_circSerinc3_001	mm10	chr2:163634434-163637004	-	274	NM_012032	Serinc3	ENSMUSG00000017707	1	3: RPF,cORF,MS	circAtlas:mmu-Serinc3_0019,CIRCpedia:MMU_CIRCpedia_218407
Condition-independent	Mouse	mmu_circStk4_001	mm10	chr2:164083629-164096906	+	577	NM_021420	Stk4	ENSMUSG00000018209	1	3: RPF,cORF,m6A	circAtlas:mmu-Stk4_0005,CIRCpedia:MMU_CIRCpedia_11431
Condition-independent	Mouse	mmu_circNcoa3_001	mm10	chr2:166059694-166066051	+	593	NM_008679	Ncoa3	ENSMUSG00000027678	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ncoa3_0005,circBase:mmu_circ_0009573,CIRCpedia:MMU_CIRCpedia_11574
Condition-independent	Mouse	mmu_circAdnp_001	mm10	chr2:168187566-168189394	-	206	NM_009628	Adnp	ENSMUSG00000051149	1	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_11714
Condition-independent	Mouse	mmu_circNfatc2_001	mm10	chr2:168504444-168507370	-	873	NM_001136073	Nfatc2	ENSMUSG00000027544	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Nfatc2_0002,circBase:mmu_circ_0009612,CIRCpedia:MMU_CIRCpedia_11729,TSCD:chr2:168504444-168507370
Condition-independent	Mouse	mmu_circNfatc2_002	mm10	chr2:168567138-168571113	-	688	NM_001291177	Nfatc2	ENSMUSG00000027544	1	3: RPF,cORF,m6A	circAtlas:mmu-Nfatc2_0003,circBase:mmu_circ_0009613,CIRCpedia:MMU_CIRCpedia_11731
Condition-independent	Mouse	mmu_circNfatc2_003	mm10	chr2:168567138-168571633	-	1208	NM_001136073	Nfatc2	ENSMUSG00000027544	1	3: RPF,cORF,m6A	circAtlas:mmu-Nfatc2_0001,circBase:mmu_circ_0001103,CIRCpedia:MMU_CIRCpedia_11732
Condition-independent	Mouse	mmu_circAurka_001	mm10	chr2:172366921-172369032	-	297	NM_011497	Aurka	ENSMUSG00000027496	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Aurka_0001,CIRCpedia:MMU_CIRCpedia_213369
Condition-independent	Mouse	mmu_circGnas_001	mm10	chr2:174334211-174336791	+	118	NM_001310083	Gnas	ENSMUSG00000027523	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Gnas_0009
Condition-independent	Mouse	mmu_circZfhx4_001	mm10	chr3:5241669-5245645	+	3133	NM_001368671	Zfhx4	ENSMUSG00000025255	1	3: RPF,cORF,m6A	circAtlas:mmu-Zfhx4_0002,circBase:mmu_circ_0010682,CIRCpedia:MMU_CIRCpedia_22377
Condition-independent	Mouse	mmu_circCar3_001	mm10	chr3:14870041-14870197	+	156	NM_007606	Car3	ENSMUSG00000027559	1	2: RPF,cORF	circAtlas:mmu-Car3_0001
Condition-independent	Mouse	mmu_circCyp7b1_001	mm10	chr3:18096522-18097794	-	798	NM_007825	Cyp7b1	ENSMUSG00000039519	1	3: RPF,cORF,m6A	circAtlas:mmu-Cyp7b1_0002
Condition-independent	Mouse	mmu_circFndc3b_001	mm10	chr3:27537948-27556196	-	612	NM_173182	Fndc3b	ENSMUSG00000039286	1	3: RPF,cORF,m6A	circAtlas:mmu-Fndc3b_0002,CIRCpedia:MMU_CIRCpedia_14978
Condition-independent	Mouse	mmu_circFndc3b_002	mm10	chr3:27620604-27643089	-	215	NM_173182	Fndc3b	ENSMUSG00000039286	1	3: RPF,cORF,m6A	circAtlas:mmu-Fndc3b_0004,circBase:mmu_circ_0001113,CIRCpedia:MMU_CIRCpedia_14999
Condition-independent	Mouse	mmu_circFndc3b_003	mm10	chr3:27642950-27643089	-	139	NM_173182	Fndc3b	ENSMUSG00000039286	1	3: RPF,cORF,MS	circAtlas:mmu-Fndc3b_0010
Condition-independent	Mouse	mmu_circElf2_001	mm10	chr3:51308049-51326035	-	484	NM_001291059	Elf2	ENSMUSG00000037174	1	3: RPF,cORF,m6A	circAtlas:mmu-Elf2_0014,circBase:mmu_circ_0001125,CIRCpedia:MMU_CIRCpedia_22053
Condition-independent	Mouse	mmu_circNbea_001	mm10	chr3:55786440-55953162	-	1064	NM_030595	Nbea	ENSMUSG00000027799	1	3: RPF,cORF,m6A	circAtlas:mmu-Nbea_0155
Condition-independent	Mouse	mmu_circRsrc1_001	mm10	chr3:66994516-66996590	+	316	NM_001356274	Rsrc1	ENSMUSG00000034544	2	3: RPF,cORF,m6A	circAtlas:mmu-Rsrc1_0001,circBase:mmu_circ_0001136,CIRCpedia:MMU_CIRCpedia_26681
